"cityid" "name" "country" "lat" "long" "prov"
0 "Tofino" "Canada" 49.152100 -125.903100 "British Columbia"
1 "Joliette" "Canada" 46.033300 -73.433300 "Québec"
2 "Sheffield" "United Kingdom" 53.366700 -1.500000 "Sheffield"
3 "Leeds" "United Kingdom" 53.830000 -1.580000 "Leeds"
4 "Manchester" "United Kingdom" 53.500400 -2.248000 "Manchester"
5 "Hove" "United Kingdom" 50.833300 -0.183300 "Brighton and Hove"
6 "Burien" "United States" 47.476100 -122.339300 "Washington"
7 "Hampton" "United States" 37.055100 -76.362900 "Virginia"
8 "Largo" "United States" 27.908800 -82.771400 "Florida"
9 "New Smyrna Beach" "United States" 29.024600 -80.963700 "Florida"
10 "West New York" "United States" 40.785600 -74.009300 "New Jersey"
11 "Ventnor City" "United States" 39.345700 -74.486000 "New Jersey"
12 "Berlin" "United States" 39.791400 -74.937300 "New Jersey"
13 "Red Oak" "United States" 32.520400 -96.786000 "Texas"
14 "Leland" "United States" 34.203500 -78.029300 "North Carolina"
15 "Lumberton" "United States" 34.630900 -79.018100 "North Carolina"
16 "Sidney" "United States" 41.134300 -102.968600 "Nebraska"
17 "Lawrenceburg" "United States" 35.249700 -87.332000 "Tennessee"
18 "Batavia" "United States" 42.998700 -78.180200 "New York"
19 "Ashland" "United States" 40.781100 -76.345100 "Pennsylvania"
20 "California" "United States" 40.069200 -79.915200 "Pennsylvania"
21 "Hollidaysburg" "United States" 40.431100 -78.393000 "Pennsylvania"
22 "Chester" "United States" 39.845600 -75.371800 "Pennsylvania"
23 "El Centro" "United States" 32.787300 -115.557800 "California"
24 "Rosemead" "United States" 34.068800 -118.082300 "California"
25 "Parlier" "United States" 36.608200 -119.543600 "California"
26 "Alhambra" "United States" 34.084000 -118.135500 "California"
27 "Fallon" "United States" 39.473900 -118.778000 "Nevada"
28 "Berthoud" "United States" 40.305900 -105.041200 "Colorado"
29 "Benton" "United States" 38.011000 -88.917900 "Illinois"
30 "Westmont" "United States" 41.794800 -87.974200 "Illinois"
31 "Orland Park" "United States" 41.607500 -87.861800 "Illinois"
32 "Summerville" "United States" 34.478800 -85.349100 "Georgia"
33 "Springfield" "United States" 32.364100 -81.307900 "Georgia"
34 "Zionsville" "United States" 39.999000 -86.292100 "Indiana"
35 "Grinnell" "United States" 41.737200 -92.724400 "Iowa"
36 "Eldridge" "United States" 41.639400 -90.580500 "Iowa"
37 "Noble" "United States" 35.138500 -97.371000 "Oklahoma"
38 "Paradise Valley" "United States" 33.543500 -111.959500 "Arizona"
39 "Danbury" "United States" 41.401600 -73.471000 "Connecticut"
40 "Marlborough" "United States" 42.349400 -71.546800 "Massachusetts"
41 "Springfield" "United States" 42.115500 -72.539500 "Massachusetts"
42 "Washington Court House" "United States" 39.538400 -83.427600 "Ohio"
43 "Lorain" "United States" 41.440900 -82.184000 "Ohio"
44 "Price" "United States" 39.604000 -110.800400 "Utah"
45 "Monticello" "United States" 45.297700 -93.797900 "Minnesota"
46 "Crystal" "United States" 45.037700 -93.359800 "Minnesota"
47 "Sauk Rapids" "United States" 45.598100 -94.154000 "Minnesota"
48 "Rochester Hills" "United States" 42.664500 -83.156300 "Michigan"
49 "Dearborn Heights" "United States" 42.316400 -83.276900 "Michigan"
50 "Cranston" "United States" 41.765800 -71.485800 "Rhode Island"
51 "Greer" "United States" 34.935200 -82.233600 "South Carolina"
52 "Sumter" "United States" 33.939300 -80.392900 "South Carolina"
53 "Belle Fourche" "United States" 44.663500 -103.856200 "South Dakota"
99 "Bern" "Switzerland" 46.53 7.26 "Bern"
